,Unnamed: 0,keyword,site_name,URL,snippet,ranking,target
0,0,Meta Learning,A Comprehensive Overview and Survey of Recent Advances in Meta-Learning,http://arxiv.org/abs/2004.11149v7,"This article reviews meta-learning also known as learning-to-learn which seeks rapid and accurate model adaptation to unseen tasks with applications in highly automated AI, few-shot learning, natural language processing and robotics. Unlike deep learning, meta-learning can be applied to few-shot high-dimensional datasets and considers further improving model generalization to unseen tasks. Deep learning is focused upon in-sample prediction and meta-learning concerns model adaptation for out-of-sample prediction. Meta-learning can continually perform self-improvement to achieve highly autonomous AI. Meta-learning may serve as an additional generalization block complementary for original deep learning model. Meta-learning seeks adaptation of machine learning models to unseen tasks which are vastly different from trained tasks. Meta-learning with coevolution between agent and environment provides solutions for complex tasks unsolvable by training from scratch. Meta-learning methodology covers a wide range of great minds and thoughts. We briefly introduce meta-learning methodologies in the following categories: black-box meta-learning, metric-based meta-learning, layered meta-learning and Bayesian meta-learning framework. Recent applications concentrate upon the integration of meta-learning with other machine learning framework to provide feasible integrated problem solutions. We briefly present recent meta-learning advances and discuss potential future research directions.",1,This article reviews meta learning also known as learning to learn which seeks rapid and accurate model adaptation to unseen tasks with applications in highly automated AI few shot learning natural language processing and robotics Unlike deep learning meta learning can be applied to few shot high dimensional datasets and considers further improving model generalization to unseen tasks Deep learning is focused upon in sample prediction and meta learning concerns model adaptation for out of sample prediction Meta learning can continually perform self improvement to achieve highly autonomous AI Meta learning may serve as an additional generalization block complementary for original deep learning model Meta learning seeks adaptation of machine learning models to unseen tasks which are vastly different from trained tasks Meta learning with coevolution between agent and environment provides solutions for complex tasks unsolvable by training from scratch Meta learning methodology covers a wide range of great minds and thoughts We briefly introduce meta learning methodologies in the following categories black box meta learning metric based meta learning layered meta learning and Bayesian meta learning framework Recent applications concentrate upon the integration of meta learning with other machine learning framework to provide feasible integrated problem solutions We briefly present recent meta learning advances and discuss potential future research directions
1,1,Meta Learning,"Yet Meta Learning Can Adapt Fast, It Can Also Break Easily",http://arxiv.org/abs/2009.01672v1,"Meta learning algorithms have been widely applied in many tasks for efficient learning, such as few-shot image classification and fast reinforcement learning. During meta training, the meta learner develops a common learning strategy, or experience, from a variety of learning tasks. Therefore, during meta test, the meta learner can use the learned strategy to quickly adapt to new tasks even with a few training samples. However, there is still a dark side about meta learning in terms of reliability and robustness. In particular, is meta learning vulnerable to adversarial attacks? In other words, would a well-trained meta learner utilize its learned experience to build wrong or likely useless knowledge, if an adversary unnoticeably manipulates the given training set? Without the understanding of this problem, it is extremely risky to apply meta learning in safety-critical applications. Thus, in this paper, we perform the initial study about adversarial attacks on meta learning under the few-shot classification problem. In particular, we formally define key elements of adversarial attacks unique to meta learning and propose the first attacking algorithm against meta learning under various settings. We evaluate the effectiveness of the proposed attacking strategy as well as the robustness of several representative meta learning algorithms. Experimental results demonstrate that the proposed attacking strategy can easily break the meta learner and meta learning is vulnerable to adversarial attacks. The implementation of the proposed framework will be released upon the acceptance of this paper.",2,Meta learning algorithms have been widely applied in many tasks for efficient learning such as few shot image classification and fast reinforcement learning During meta training the meta learner develops a common learning strategy or experience from a variety of learning tasks Therefore during meta test the meta learner can use the learned strategy to quickly adapt to new tasks even with a few training samples However there is still a dark side about meta learning in terms of reliability and robustness In particular is meta learning vulnerable to adversarial attacks In other words would a well trained meta learner utilize its learned experience to build wrong or likely useless knowledge if an adversary unnoticeably manipulates the given training set Without the understanding of this problem it is extremely risky to apply meta learning in safety critical applications Thus in this paper we perform the initial study about adversarial attacks on meta learning under the few shot classification problem In particular we formally define key elements of adversarial attacks unique to meta learning and propose the first attacking algorithm against meta learning under various settings We evaluate the effectiveness of the proposed attacking strategy as well as the robustness of several representative meta learning algorithms Experimental results demonstrate that the proposed attacking strategy can easily break the meta learner and meta learning is vulnerable to adversarial attacks The implementation of the proposed framework will be released upon the acceptance of this paper
2,2,Meta Learning,Meta-SGD: Learning to Learn Quickly for Few-Shot Learning,http://arxiv.org/abs/1707.09835v2,"Few-shot learning is challenging for learning algorithms that learn each task in isolation and from scratch. In contrast, meta-learning learns from many related tasks a meta-learner that can learn a new task more accurately and faster with fewer examples, where the choice of meta-learners is crucial. In this paper, we develop Meta-SGD, an SGD-like, easily trainable meta-learner that can initialize and adapt any differentiable learner in just one step, on both supervised learning and reinforcement learning. Compared to the popular meta-learner LSTM, Meta-SGD is conceptually simpler, easier to implement, and can be learned more efficiently. Compared to the latest meta-learner MAML, Meta-SGD has a much higher capacity by learning to learn not just the learner initialization, but also the learner update direction and learning rate, all in a single meta-learning process. Meta-SGD shows highly competitive performance for few-shot learning on regression, classification, and reinforcement learning.",3,Few shot learning is challenging for learning algorithms that learn each task in isolation and from scratch In contrast meta learning learns from many related tasks a meta learner that can learn a new task more accurately and faster with fewer examples where the choice of meta learners is crucial In this paper we develop Meta SGD an SGD like easily trainable meta learner that can initialize and adapt any differentiable learner in just one step on both supervised learning and reinforcement learning Compared to the popular meta learner LSTM Meta SGD is conceptually simpler easier to implement and can be learned more efficiently Compared to the latest meta learner MAML Meta SGD has a much higher capacity by learning to learn not just the learner initialization but also the learner update direction and learning rate all in a single meta learning process Meta SGD shows highly competitive performance for few shot learning on regression classification and reinforcement learning
3,3,Meta Learning,Double Meta-Learning for Data Efficient Policy Optimization in Non-Stationary Environments,http://arxiv.org/abs/2011.10714v1,"We are interested in learning models of non-stationary environments, which can be framed as a multi-task learning problem. Model-free reinforcement learning algorithms can achieve good asymptotic performance in multi-task learning at a cost of extensive sampling, due to their approach, which requires learning from scratch. While model-based approaches are among the most data efficient learning algorithms, they still struggle with complex tasks and model uncertainties. Meta-reinforcement learning addresses the efficiency and generalization challenges on multi task learning by quickly leveraging the meta-prior policy for a new task. In this paper, we propose a meta-reinforcement learning approach to learn the dynamic model of a non-stationary environment to be used for meta-policy optimization later. Due to the sample efficiency of model-based learning methods, we are able to simultaneously train both the meta-model of the non-stationary environment and the meta-policy until dynamic model convergence. Then, the meta-learned dynamic model of the environment will generate simulated data for meta-policy optimization. Our experiment demonstrates that our proposed method can meta-learn the policy in a non-stationary environment with the data efficiency of model-based learning approaches while achieving the high asymptotic performance of model-free meta-reinforcement learning.",4,We are interested in learning models of non stationary environments which can be framed as a multi task learning problem Model free reinforcement learning algorithms can achieve good asymptotic performance in multi task learning at a cost of extensive sampling due to their approach which requires learning from scratch While model based approaches are among the most data efficient learning algorithms they still struggle with complex tasks and model uncertainties Meta reinforcement learning addresses the efficiency and generalization challenges on multi task learning by quickly leveraging the meta prior policy for a new task In this paper we propose a meta reinforcement learning approach to learn the dynamic model of a non stationary environment to be used for meta policy optimization later Due to the sample efficiency of model based learning methods we are able to simultaneously train both the meta model of the non stationary environment and the meta policy until dynamic model convergence Then the meta learned dynamic model of the environment will generate simulated data for meta policy optimization Our experiment demonstrates that our proposed method can meta learn the policy in a non stationary environment with the data efficiency of model based learning approaches while achieving the high asymptotic performance of model free meta reinforcement learning
4,4,Meta Learning,Deep Meta-Learning: Learning to Learn in the Concept Space,http://arxiv.org/abs/1802.03596v1,"Few-shot learning remains challenging for meta-learning that learns a learning algorithm (meta-learner) from many related tasks. In this work, we argue that this is due to the lack of a good representation for meta-learning, and propose deep meta-learning to integrate the representation power of deep learning into meta-learning. The framework is composed of three modules, a concept generator, a meta-learner, and a concept discriminator, which are learned jointly. The concept generator, e.g. a deep residual net, extracts a representation for each instance that captures its high-level concept, on which the meta-learner performs few-shot learning, and the concept discriminator recognizes the concepts. By learning to learn in the concept space rather than in the complicated instance space, deep meta-learning can substantially improve vanilla meta-learning, which is demonstrated on various few-shot image recognition problems. For example, on 5-way-1-shot image recognition on CIFAR-100 and CUB-200, it improves Matching Nets from 50.53% and 56.53% to 58.18% and 63.47%, improves MAML from 49.28% and 50.45% to 56.65% and 64.63%, and improves Meta-SGD from 53.83% and 53.34% to 61.62% and 66.95%, respectively.",5,Few shot learning remains challenging for meta learning that learns a learning algorithm meta learner from many related tasks In this work we argue that this is due to the lack of a good representation for meta learning and propose deep meta learning to integrate the representation power of deep learning into meta learning The framework is composed of three modules a concept generator a meta learner and a concept discriminator which are learned jointly The concept generator e g a deep residual net extracts a representation for each instance that captures its high level concept on which the meta learner performs few shot learning and the concept discriminator recognizes the concepts By learning to learn in the concept space rather than in the complicated instance space deep meta learning can substantially improve vanilla meta learning which is demonstrated on various few shot image recognition problems For example on 0 way 0 shot image recognition on CIFAR 0 and CUB 0 it improves Matching Nets from 0 0 and 0 0 to 0 0 and 0 0 improves MAML from 0 0 and 0 0 to 0 0 and 0 0 and improves Meta SGD from 0 0 and 0 0 to 0 0 and 0 0 respectively
5,5,Meta Learning,Dataset2Vec: Learning Dataset Meta-Features,http://arxiv.org/abs/1905.11063v4,"Meta-learning, or learning to learn, is a machine learning approach that utilizes prior learning experiences to expedite the learning process on unseen tasks. As a data-driven approach, meta-learning requires meta-features that represent the primary learning tasks or datasets, and are estimated traditonally as engineered dataset statistics that require expert domain knowledge tailored for every meta-task. In this paper, first, we propose a meta-feature extractor called Dataset2Vec that combines the versatility of engineered dataset meta-features with the expressivity of meta-features learned by deep neural networks. Primary learning tasks or datasets are represented as hierarchical sets, i.e., as a set of sets, esp. as a set of predictor/target pairs, and then a DeepSet architecture is employed to regress meta-features on them. Second, we propose a novel auxiliary meta-learning task with abundant data called dataset similarity learning that aims to predict if two batches stem from the same dataset or different ones. In an experiment on a large-scale hyperparameter optimization task for 120 UCI datasets with varying schemas as a meta-learning task, we show that the meta-features of Dataset2Vec outperform the expert engineered meta-features and thus demonstrate the usefulness of learned meta-features for datasets with varying schemas for the first time.",6,Meta learning or learning to learn is a machine learning approach that utilizes prior learning experiences to expedite the learning process on unseen tasks As a data driven approach meta learning requires meta features that represent the primary learning tasks or datasets and are estimated traditonally as engineered dataset statistics that require expert domain knowledge tailored for every meta task In this paper first we propose a meta feature extractor called Dataset 0 Vec that combines the versatility of engineered dataset meta features with the expressivity of meta features learned by deep neural networks Primary learning tasks or datasets are represented as hierarchical sets i e as a set of sets esp as a set of predictor target pairs and then a DeepSet architecture is employed to regress meta features on them Second we propose a novel auxiliary meta learning task with abundant data called dataset similarity learning that aims to predict if two batches stem from the same dataset or different ones In an experiment on a large scale hyperparameter optimization task for 0 UCI datasets with varying schemas as a meta learning task we show that the meta features of Dataset 0 Vec outperform the expert engineered meta features and thus demonstrate the usefulness of learned meta features for datasets with varying schemas for the first time
6,6,Meta Learning,Transfer Meta-Learning: Information-Theoretic Bounds and Information Meta-Risk Minimization,http://arxiv.org/abs/2011.02872v2,"Meta-learning automatically infers an inductive bias by observing data from a number of related tasks. The inductive bias is encoded by hyperparameters that determine aspects of the model class or training algorithm, such as initialization or learning rate. Meta-learning assumes that the learning tasks belong to a task environment, and that tasks are drawn from the same task environment both during meta-training and meta-testing. This, however, may not hold true in practice. In this paper, we introduce the problem of transfer meta-learning, in which tasks are drawn from a target task environment during meta-testing that may differ from the source task environment observed during meta-training. Novel information-theoretic upper bounds are obtained on the transfer meta-generalization gap, which measures the difference between the meta-training loss, available at the meta-learner, and the average loss on meta-test data from a new, randomly selected, task in the target task environment. The first bound, on the average transfer meta-generalization gap, captures the meta-environment shift between source and target task environments via the KL divergence between source and target data distributions. The second, PAC-Bayesian bound, and the third, single-draw bound, account for this shift via the log-likelihood ratio between source and target task distributions. Furthermore, two transfer meta-learning solutions are introduced. For the first, termed Empirical Meta-Risk Minimization (EMRM), we derive bounds on the average optimality gap. The second, referred to as Information Meta-Risk Minimization (IMRM), is obtained by minimizing the PAC-Bayesian bound. IMRM is shown via experiments to potentially outperform EMRM.",7,Meta learning automatically infers an inductive bias by observing data from a number of related tasks The inductive bias is encoded by hyperparameters that determine aspects of the model class or training algorithm such as initialization or learning rate Meta learning assumes that the learning tasks belong to a task environment and that tasks are drawn from the same task environment both during meta training and meta testing This however may not hold true in practice In this paper we introduce the problem of transfer meta learning in which tasks are drawn from a target task environment during meta testing that may differ from the source task environment observed during meta training Novel information theoretic upper bounds are obtained on the transfer meta generalization gap which measures the difference between the meta training loss available at the meta learner and the average loss on meta test data from a new randomly selected task in the target task environment The first bound on the average transfer meta generalization gap captures the meta environment shift between source and target task environments via the KL divergence between source and target data distributions The second PAC Bayesian bound and the third single draw bound account for this shift via the log likelihood ratio between source and target task distributions Furthermore two transfer meta learning solutions are introduced For the first termed Empirical Meta Risk Minimization EMRM we derive bounds on the average optimality gap The second referred to as Information Meta Risk Minimization IMRM is obtained by minimizing the PAC Bayesian bound IMRM is shown via experiments to potentially outperform EMRM
7,7,Meta Learning,Unsupervised Meta-Learning for Reinforcement Learning,http://arxiv.org/abs/1806.04640v3,"Meta-learning algorithms use past experience to learn to quickly solve new tasks. In the context of reinforcement learning, meta-learning algorithms acquire reinforcement learning procedures to solve new problems more efficiently by utilizing experience from prior tasks. The performance of meta-learning algorithms depends on the tasks available for meta-training: in the same way that supervised learning generalizes best to test points drawn from the same distribution as the training points, meta-learning methods generalize best to tasks from the same distribution as the meta-training tasks. In effect, meta-reinforcement learning offloads the design burden from algorithm design to task design. If we can automate the process of task design as well, we can devise a meta-learning algorithm that is truly automated. In this work, we take a step in this direction, proposing a family of unsupervised meta-learning algorithms for reinforcement learning. We motivate and describe a general recipe for unsupervised meta-reinforcement learning, and present an instantiation of this approach. Our conceptual and theoretical contributions consist of formulating the unsupervised meta-reinforcement learning problem and describing how task proposals based on mutual information can be used to train optimal meta-learners. Our experimental results indicate that unsupervised meta-reinforcement learning effectively acquires accelerated reinforcement learning procedures without the need for manual task design and these procedures exceed the performance of learning from scratch.",8,Meta learning algorithms use past experience to learn to quickly solve new tasks In the context of reinforcement learning meta learning algorithms acquire reinforcement learning procedures to solve new problems more efficiently by utilizing experience from prior tasks The performance of meta learning algorithms depends on the tasks available for meta training in the same way that supervised learning generalizes best to test points drawn from the same distribution as the training points meta learning methods generalize best to tasks from the same distribution as the meta training tasks In effect meta reinforcement learning offloads the design burden from algorithm design to task design If we can automate the process of task design as well we can devise a meta learning algorithm that is truly automated In this work we take a step in this direction proposing a family of unsupervised meta learning algorithms for reinforcement learning We motivate and describe a general recipe for unsupervised meta reinforcement learning and present an instantiation of this approach Our conceptual and theoretical contributions consist of formulating the unsupervised meta reinforcement learning problem and describing how task proposals based on mutual information can be used to train optimal meta learners Our experimental results indicate that unsupervised meta reinforcement learning effectively acquires accelerated reinforcement learning procedures without the need for manual task design and these procedures exceed the performance of learning from scratch
8,8,Meta Learning,Incremental Meta-Learning via Indirect Discriminant Alignment,http://arxiv.org/abs/2002.04162v2,"Majority of the modern meta-learning methods for few-shot classification tasks operate in two phases: a meta-training phase where the meta-learner learns a generic representation by solving multiple few-shot tasks sampled from a large dataset and a testing phase, where the meta-learner leverages its learnt internal representation for a specific few-shot task involving classes which were not seen during the meta-training phase. To the best of our knowledge, all such meta-learning methods use a single base dataset for meta-training to sample tasks from and do not adapt the algorithm after meta-training. This strategy may not scale to real-world use-cases where the meta-learner does not potentially have access to the full meta-training dataset from the very beginning and we need to update the meta-learner in an incremental fashion when additional training data becomes available. Through our experimental setup, we develop a notion of incremental learning during the meta-training phase of meta-learning and propose a method which can be used with multiple existing metric-based meta-learning algorithms. Experimental results on benchmark dataset show that our approach performs favorably at test time as compared to training a model with the full meta-training set and incurs negligible amount of catastrophic forgetting",9,Majority of the modern meta learning methods for few shot classification tasks operate in two phases a meta training phase where the meta learner learns a generic representation by solving multiple few shot tasks sampled from a large dataset and a testing phase where the meta learner leverages its learnt internal representation for a specific few shot task involving classes which were not seen during the meta training phase To the best of our knowledge all such meta learning methods use a single base dataset for meta training to sample tasks from and do not adapt the algorithm after meta training This strategy may not scale to real world use cases where the meta learner does not potentially have access to the full meta training dataset from the very beginning and we need to update the meta learner in an incremental fashion when additional training data becomes available Through our experimental setup we develop a notion of incremental learning during the meta training phase of meta learning and propose a method which can be used with multiple existing metric based meta learning algorithms Experimental results on benchmark dataset show that our approach performs favorably at test time as compared to training a model with the full meta training set and incurs negligible amount of catastrophic forgetting
9,9,Meta Learning,A Brief Survey of Associations Between Meta-Learning and General AI,http://arxiv.org/abs/2101.04283v1,"This paper briefly reviews the history of meta-learning and describes its contribution to general AI. Meta-learning improves model generalization capacity and devises general algorithms applicable to both in-distribution and out-of-distribution tasks potentially. General AI replaces task-specific models with general algorithmic systems introducing higher level of automation in solving diverse tasks using AI. We summarize main contributions of meta-learning to the developments in general AI, including memory module, meta-learner, coevolution, curiosity, forgetting and AI-generating algorithm. We present connections between meta-learning and general AI and discuss how meta-learning can be used to formulate general AI algorithms.",10,This paper briefly reviews the history of meta learning and describes its contribution to general AI Meta learning improves model generalization capacity and devises general algorithms applicable to both in distribution and out of distribution tasks potentially General AI replaces task specific models with general algorithmic systems introducing higher level of automation in solving diverse tasks using AI We summarize main contributions of meta learning to the developments in general AI including memory module meta learner coevolution curiosity forgetting and AI generating algorithm We present connections between meta learning and general AI and discuss how meta learning can be used to formulate general AI algorithms
